genus,num_images,total_shapes
Acanthotomicus,1,0
Ambrosiodmus,240,389
Ambrosiophilus,96,163
Ancipitis,2,0
Anisandrus,208,2647
Baiocis,3,0
Beaverium,17,11
Carchesiopygus,6,0
Carphoborus,52,1090
Chaetoptelius,38,34
Cnesinus,15,13
Cnestus,191,1364
Coccotrypes,309,6561
Coptoborus,106,1795
Crossotarsus,137,34
Crossotarusus,6,0
Cryphalus,27,612
Cryptocarenus,163,3723
Crypturgus,13,13
Ctonoxylon,86,1419
Cyclorhipidion,80,582
Cyrtogenius,162,0
Dactylipalpus,8,0
Dactylotrypes,38,1090
Debus,37,28
Dendroctonus,2487,4091
Dendroterus,17,15
Diapus,17,0
Dinoplatypus,115,18
Diuncus,50,46
Dryocoetes,81,82
Eccoptopterus,20,18
Eidophelus,20,611
Ernoporus,24,213
Euplatypus,193,1714
Euwallacea,597,8063
Genus,1,0
Gnathotrichus,29,27
Hadrodemius,26,16
Heteroborips,15,15
Hylastes,237,1467
Hylesinus,843,6874
Hylocurus,20,169
Hylurgops,114,974
Hylurgus,215,1262
Hypothenemus,257,2003
Immanus,1,0
Ips,5501,10474
Leptoxyleborus,18,17
Metacorthylus,16,14
Microperus,45,41
Monarthrum,480,4170
Myoplatypus,145,1203
Orthotomicus,118,716
Ozopemon,147,0
Pagiocerus,84,1637
Peridryocoetes,2,0
Phloeosinus,284,5194
Pityoborus,19,18
Pityogenes,114,1406
Pityophthorus,162,5020
Platypus,615,4840
Polygraphus,17,36
Premnobius,19,21
Procryphalus,13,13
Pseudopityophthorus,58,1232
Pseudowebbia,12,12
Pycnarthrum,87,1586
Scolytodes,94,2659
Scolytoplatypus,9,0
Scolytus,287,2326
Spathidicerus,20,0
Stegomerus,19,19
Taphrorychus,58,1338
Tomicus,121,835
Treptoplatypus,15,0
Tricosa,13,13
Truncaudum,33,33
Trypodendron,157,212
Wallacellus,10,10
Webbia,15,15
Xyleborinus,386,4661
Xyleborus,777,9871
Xylocleptes,37,39
Xylosandrus,860,11526
Xyloterinus,27,28
unknown,35979,51343
